Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes
IC0001;**;00:08:27.05;+27:43:03.6;Peg;;;;;;;;;;;;;;;;;;;;;
IC0002;G;00:11:00.88;-12:49:22.3;Cet;0.98;0.32;142;15.46;;12.26;11.48;11.17;23.45;Sb;;;;;;;;2MASX J00110081-1249206,IRAS 00084-1306,MCG -02-01-031,PGC 000778;;;B-Mag taken from LEDA. 
IC0003;G;00:12:06.09;-00:24:54.8;Psc;0.93;0.67;53;15.10;;11.53;10.79;10.54;23.50;E;;;;;;;;2MASX J00120604-0024543,MCG +00-01-038,PGC 000836,SDSS J001206.08-002454.7,SDSS J001206.09-002454.7,SDSS J001206.09-002454.8,SDSS J001206.10-002454.8;;;
IC0004;G;00:13:26.94;+17:29:11.2;Peg;1.17;0.84;12;14.20;;11.51;10.65;10.50;23.01;Sc;;;;;;;;2MASX J00132695+1729111,IRAS 00108+1712,MCG +03-01-029,PGC 000897,UGC 00123;;;
IC0005;G;00:17:34.93;-09:32:36.1;Cet;0.99;0.66;9;14.57;;11.50;10.85;10.50;23.40;E;;;;;;;;2MASX J00173495-0932364,MCG -02-01-047,PGC 001145,SDSS J001734.93-093236.0,SDSS J001734.93-093236.1;;;B-Mag taken from LEDA. 
IC0006;G;00:18:55.04;-03:16:33.9;Psc;1.23;1.08;146;14.50;;11.03;10.32;10.08;23.89;E;;;;;;;;2MASX J00185505-0316339,MCG -01-01-075,PGC 001228;;;
IC0007;G;00:18:53.16;+10:35:40.9;Psc;0.90;0.63;174;14.70;;11.33;10.57;10.26;23.22;S0;;;;;;;;2MASX J00185316+1035410,PGC 001216;;;
IC0008;G;00:19:02.72;-03:13:19.5;Psc;0.82;0.34;129;15.16;;12.70;12.08;12.08;23.40;E?;;;;;;;;2MASX J00190272-0313196,MCG -01-01-076,PGC 001234;;;B-Mag taken from LEDA. 
IC0009;G;00:19:43.98;-14:07:18.8;Cet;0.59;0.46;122;15.41;;12.38;11.71;11.28;22.88;Sa;;;;;;;;2MASX J00194400-1407184,MCG -02-02-001,PGC 001271;;;B-Mag taken from LEDA. 
IC0010;G;00:20:17.34;+59:18:13.6;Cas;6.76;6.03;129;13.60;9.50;7.23;6.34;6.01;24.53;IB;;;;;;;;2MASX J00201733+5918136,IRAS 00175+5902,IRAS 00177+5900,MCG +10-01-001,PGC 001305,UGC 00192;;The 2MASX position refers to the center of the IR isophotes.;
IC0011;Dup;00:52:59.35;+56:37:18.8;Cas;;;;;;;;;;;;;;;0281;;;;;;
IC0012;G;00:20:15.05;-02:39:11.2;Psc;0.96;0.32;20;15.08;;12.02;11.30;10.92;22.93;Sbc;;;;;;;;2MASX J00201505-0239112,IRAS 00177-0255,MCG -01-02-003,PGC 001299;;;B-Mag taken from LEDA. 
IC0013;G;00:20:20.09;+07:42:01.8;Psc;1.29;0.53;162;15.00;;12.57;11.78;11.72;23.53;Sbc;;;;;;;;2MASX J00202007+0742016,MCG +01-02-003,PGC 001301,SDSS J002020.09+074202.2,UGC 00195;;;
IC0014;**;00:22:31.29;+10:29:24.9;Psc;;;;;;;;;;;;;;;;;;;;;
IC0015;G;00:27:57.59;-00:03:40.6;Cet;0.44;0.38;91;15.91;;12.98;12.33;12.03;22.85;SBb;;;;;;;;2MASX J00275754-0003404,IRAS 00253-0020,LEDA 165298,SDSS J002757.58-000340.6,SDSS J002757.59-000340.5,SDSS J002757.59-000340.6;;;
IC0016;G;00:28:07.65;-13:05:38.1;Cet;0.58;0.32;62;15.15;;12.75;12.05;11.71;23.00;S0-a;;;;;;;;2MASX J00280763-1305379,IRAS 00255-1322,MCG -02-02-017,PGC 001730;;;B-Mag taken from LEDA. 
IC0017;G;00:28:29.78;+02:38:55.0;Psc;0.67;0.54;102;14.80;;11.68;10.96;10.78;23.04;E?;;;;;;;;2MASX J00282976+0238549,MCG +00-02-044,PGC 001753;;;
IC0018;G;00:28:34.96;-11:35:12.1;Cet;1.08;0.41;29;15.03;;12.14;11.39;11.04;23.62;Sb;;;;;;;;2MASX J00283495-1135123,MCG -02-02-023,PGC 001759;;;B-Mag taken from LEDA. 
IC0019;G;00:28:39.48;-11:38:26.8;Cet;0.79;0.67;30;15.00;;11.65;10.96;10.74;23.52;E;;;;;;;;2MASX J00283951-1138262,MCG -02-02-024,PGC 001762;;;
IC0020;G;00:28:39.68;-13:00:37.1;Cet;0.91;0.77;18;14.88;;11.40;10.65;10.51;23.41;S0;;;;;;;;2MASX J00283968-1300366,MCG -02-02-021,PGC 001755;;;B-Mag taken from LEDA. 
IC0021;G;00:29:10.43;-00:09:49.6;Cet;0.49;0.45;6;14.50;;13.05;12.42;12.11;22.96;SBb;;;;;;;;2MASX J00291043-0009490,MCG +00-02-053,PGC 001785,SDSS J002910.42-000949.5,SDSS J002910.42-000949.6;;;
IC0022;G;00:29:33.17;-09:04:50.7;Cet;0.81;0.44;45;14.73;;11.63;10.98;10.73;23.07;S0;;;;;;;;2MASX J00293318-0904510,MCG -02-02-027,PGC 001815,SDSS J002933.17-090450.6,SDSS J002933.17-090450.7;;;B-Mag taken from LEDA. 
IC0023;G;00:30:50.80;-12:43:12.9;Cet;0.85;0.77;20;15.06;;11.75;11.23;10.95;23.52;E;;;;;;;;2MASX J00305083-1243120,MCG -02-02-032,PGC 001872;;;B-Mag taken from LEDA. 
IC0024;**;00:31:16.63;+30:50:21.5;And;;;;;;;;;;;;;;;;;;;;;
IC0025;G;00:31:12.09;-00:24:26.5;Cet;0.86;0.44;34;16.00;;12.15;11.43;11.17;23.68;S0-a;;;;;;;;2MASX J00311206-0024262,IRAS 00286-0040,MCG +00-02-064,PGC 001905,SDSS J003112.09-002426.4,SDSS J003112.09-002426.5;;;
IC0026;Dup;00:31:45.94;-13:20:14.9;Cet;;;;;;;;;;;;;;;0135;;;;;;
IC0027;G;00:33:06.24;-13:22:17.4;Cet;0.58;0.34;148;15.60;;13.49;12.84;12.39;23.37;;;;;;;;;2MASX J00330625-1322173,LEDA 143572;;;
IC0028;G;00:33:08.72;-13:27:22.6;Cet;0.30;0.22;85;12.00;;13.14;12.53;12.27;;E;;;;;;;;2MASX J00330879-1327223,IRAS 00306-1343,LEDA 169992;;;
IC0029;G;00:34:10.80;-02:10:39.5;Cet;0.66;0.49;160;15.60;;11.76;11.09;10.69;23.75;E;;;;;;;;2MASX J00341079-0210394,MCG +00-02-072,PGC 002042;;;
IC0030;G;00:34:14.72;-02:05:04.5;Cet;0.69;0.39;23;15.17;;12.08;11.28;11.00;23.71;S0-a;;;;;;;;2MASX J00341472-0205044,MCG +00-02-074,PGC 002050;;;B-Mag taken from LEDA. 
IC0031;G;00:34:24.63;+12:16:05.4;Psc;1.16;0.23;90;15.50;;11.44;10.55;10.24;23.86;Sab;;;;;;;;2MASX J00342461+1216066,MCG +02-02-021,PGC 002062,UGC 00340;;;
