#####################################
# Messier Data File                 #
# Hartmut Frommert, Chris Kronberg  #
#                 and Guy McArthur  #
# URL:http://www.seds.org/messier/  #
#####################################
#
# Columns:
#
# MMM  NNNN "CCCCCCCCCCCCCC" cccccc TT ttttt RR RR.R DDD DD MM.M DDDDDDDDD ddddd.ddd nnnnnnnn..
#
# MMM               Messier number
# NNNN              NGC number ("0000" if none)
# "CCCCCCCCCCCCCC"  Constellation (Full name)
# cccccc            Constellation (Abbrevation, file name)
# TT                Type of object
# ttttt             Subtype (i.e., type of cluster, nebula, or galaxy)
# RR RR.R           Right Ascension in hours and minutes
# DDD DD            Declination in degrees and minutes
# MM.M              Apparent visual magnitude
# DDDDDDDDD         Apparent (angular) diameter in arc minutes
# ddddd.ddd         distance in kilo-lightyears
# nnnnnnnn..        Name and/or comments
#
#####################################
#
# Types:
#
#   1  Open Cluster
#   2  Globular Cluster
#   3  Planetary Nebula
#   4  Diffuse Nebula
#   5  Spiral Galaxy
#   6  Elliptical Galaxy
#   7  Irregular Galaxy       (M82)
#   8  Lenticular (S0) Galaxy
#   9  Supernova Remnant      (M1)
#   A  System of 4 stars or Asterism (M73)
#   B  Milky Way Patch        (M24)
#   C  Binary star            (M40)
#
#####################################
#
# positions 2000.0 according to Sky Catalog 2000
# PN vis mag from Hynes
# Glob Cl vis mag and distances from Harris' database (29-Feb 96/15 May 97)
# vis mag's cross-checked with Sky Catalogue 2000.0 and Kenneth Glyn Jones
#   for galaxies adopted from Uroanometria 2000.0
# diameters from Bill Arnett's data file
# M63 dist from M51 (group)
# M77 quoted from HST PR
# M101, M81 group, M96 group distances from HST measurements
# Virgo cl distance 60 Mly assumed (HST via M96 gr)
#
#####################################
001  1952 "Taurus"         Tau     9 -     05 34.5 +22 01  8.4    6x4        6.3   Crab Nebula
002  7089 "Aquarius"       Aqr     2 II    21 33.5 -00 49  6.5   12.9       37.5
003  5272 "Canes Venatici" CVn     2 VI    13 42.2 +28 23  6.2   16.2       33.9
004  6121 "Scorpius"       Sco     2 IX    16 23.6 -26 32  5.6   26.3        7.2
005  5904 "Serpens"        SerCap  2 V     15 18.6 +02 05  5.6   17.4       24.5
006  6405 "Scorpius"       Sco     1 'e'   17 40.1 -32 13  5.3   25.0        2     Butterfly Cluster
007  6475 "Scorpius"       Sco     1 'e'   17 53.9 -34 49  4.1   80.0        0.8   The Scorpion's Tail, Ptolemy's Cluster
008  6523 "Sagittarius"    Sgr     4 E     18 03.8 -24 23  6.0   90x40       5.2   Lagoon Nebula
009  6333 "Ophiuchus"      Oph     2 VIII  17 19.2 -18 31  7.7    9.3       26.7
010  6254 "Ophiuchus"      Oph     2 VII   16 57.1 -04 06  6.6   15.1       14.4  
011  6705 "Scutum"         Sct     1 'g'   18 51.1 -06 16  6.3   14.0        6     Wild Duck Cluster
012  6218 "Ophiuchus"      Oph     2 IX    16 47.2 -01 57  6.7   14.5       16.0
013  6205 "Hercules"       Her     2 V     16 41.7 +36 28  5.8   16.6       25.1   Hercules Globular Cluster
014  6402 "Ophiuchus"      Oph     2 VIII  17 37.6 -03 15  7.6   11.7       29.0
015  7078 "Pegasus"        Peg     2 IV    21 30.0 +12 10  6.2   12.3       33.6
016  6611 "Serpens"        SerCau  1 'e'   18 18.8 -13 47  6.4    7.0        7     associated with the Eagle Nebula
017  6618 "Sagittarius"    Sgr     4 E     18 20.8 -16 11  7.0   11.0        5     Omega, Swan, Horseshoe, or Lobster Nebula
018  6613 "Sagittarius"    Sgr     1 'd'   18 19.9 -17 08  7.5    9.0        4.9
019  6273 "Ophiuchus"      Oph     2 VIII  17 02.6 -26 16  6.8   13.5       28.4
020  6514 "Sagittarius"    Sgr     4 E+R   18 02.6 -23 02  9.0   28.0        5.2   Trifid Nebula
021  6531 "Sagittarius"    Sgr     1 'd'   18 04.6 -22 30  6.5   13.0        4.25
022  6656 "Sagittarius"    Sgr     2 VII   18 36.4 -23 54  5.1   24.0       10.4
023  6494 "Sagittarius"    Sgr     1 'e'   17 56.8 -19 01  6.9   27.0        2.15
024  6603 "Sagittarius"    Sgr     B -     18 16.9 -18 29  4.6   90         10     Sagittarius Star Cloud, Delle Caustiche
025  0000 "Sagittarius"    Sgr     1 'd'   18 31.6 -19 15  6.5   40.0        2
026  6694 "Scutum"         Sct     1 'f'   18 45.2 -09 24  8.0   15.0        5
027  6853 "Vulpecula"      Vul     3 3a+2  19 59.6 +22 43  7.4  8.0x5.7      1.25  Dumbbell Nebula
028  6626 "Sagittarius"    Sgr     2 IV    18 24.5 -24 52  6.8   11.2       18.6
029  6913 "Cygnus"         Cyg     1 'd'   20 23.9 +38 32  7.1    7.0        4.0
030  7099 "Capricornus"    Cap     2 V     21 40.4 -23 11  7.2   11.0       26.1
031   224 "Andromeda"      And     5 Sb    00 42.7 +41 16  3.4  178x63    2900     Andromeda Galaxy
032   221 "Andromeda"      And     6 E2    00 42.7 +40 52  8.1    8x6     2900     A Satellite of the Andromeda Galaxy, M31
033   598 "Triangulum"     Tri     5 Sc    01 33.9 +30 39  5.7   73x45    3000     Triangulum Galaxy
034  1039 "Perseus"        Per     1 'd'   02 42.0 +42 47  5.5   35.0        1.4
035  2168 "Gemini"         Gem     1 'e'   06 08.9 +24 20  5.3   28.0        2.8
036  1960 "Auriga"         Aur     1 'f'   05 36.1 +34 08  6.3   12.0        4.1
037  2099 "Auriga"         Aur     1 'f'   05 52.4 +32 33  6.2   24.0        4.4
038  1912 "Auriga"         Aur     1 'e'   05 28.4 +35 50  7.4   21.0        4.2
039  7092 "Cygnus"         Cyg     1 'e'   21 32.2 +48 26  4.6   32.0        0.825
040  0000 "Ursa Major"     UMa     C -     12 22.4 +58 05  8.4    0.8        0.51  Winnecke 4
041  2287 "Canis Major"    CMa     1 'e'   06 46.0 -20 44  4.6   38.0        2.3
042  1976 "Orion"          Ori     4 E+R   05 35.4 -05 27  4.0   85x60       1.6   Orion Nebula
043  1982 "Orion"          Ori     4 E+R   05 35.6 -05 16  9.0   20x15       1.6   De Mairan's Nebula, part of Orion Nebula
044  2632 "Cancer"         Cnc     1 'd'   08 40.1 +19 59  3.7   95.0        0.577 Beehive Cluster, Praesepe
045  0000 "Taurus"         Tau     1 'c'   03 47.0 +24 07  1.6  110.0        0.38  Pleiades
046  2437 "Puppis"         Pup     1 'f'   07 41.8 -14 49  6.0   27.0        5.4
047  2422 "Puppis"         Pup     1 'd'   07 36.6 -14 30  5.2   30.0        1.6
048  2548 "Hydra"          Hya     1 'f'   08 13.8 -05 48  5.5   54.0        1.5
049  4472 "Virgo"          Vir     6 E4    12 29.8 +08 00  8.4    9x7.5  60000
050  2323 "Monoceros"      Mon     1 'e'   07 03.2 -08 20  6.3   16.0        3
051  5194 "Canes Venatici" CVn     5 Sc    13 29.9 +47 12  8.4   11x7    37000     Whirlpool Galaxy
052  7654 "Cassiopeia"     Cas     1 'e'   23 24.2 +61 35  7.3   13.0        5.0
053  5024 "Coma Berenices" Com     2 V     13 12.9 +18 10  7.6   12.6       59.7
054  6715 "Sagittarius"    Sgr     2 III   18 55.1 -30 29  7.6    9.1       88.7
055  6809 "Sagittarius"    Sgr     2 XI    19 40.0 -30 58  6.3   19.0       17.6
056  6779 "Lyra"           Lyr     2 X     19 16.6 +30 11  8.3    7.1       32.9
057  6720 "Lyra"           Lyr     3 4+3   18 53.6 +33 02  8.8  1.4x1.0      2.3   Ring Nebula
058  4579 "Virgo"          Vir     5 SBc   12 37.7 +11 49  9.7  5.5x4.5  60000
059  4621 "Virgo"          Vir     6 E5    12 42.0 +11 39  9.6    5x3.5  60000
060  4649 "Virgo"          Vir     6 E2    12 43.7 +11 33  8.8    7x6    60000
061  4303 "Virgo"          Vir     5 SABbc 12 21.9 +04 28  9.7    6x5.5  60000
062  6266 "Ophiuchus"      Oph     2 IV    17 01.2 -30 07  6.5   14.1       22.5
